sheet	block	row	pno	pname	mach	tool	dwg	rev	std	note	grey
SPH(D→DT)	1	9	2401	SWAGE		SWAGE DIE	4571-01-		SD	Select：Engineering	0
SPH(D→DT)	1	10	2401	SWAGE		DIE PIN	4571-02-		DP		0
SPH(D→DT)	1	11	2401	SWAGE		GUIDE PIN	4571-03-		GP		0
SPH(D→DT)	1	12	2031	TURN SPH OD	X-100	CONCENTRICITY ⏎ MEASURING PIN	9901-09-				0
SPH(D→DT)	1	13	2031	TURN SPH OD	X-100	ARBOR	4857-01-		RE33039		0
SPH(D→DT)	1	14	2031	TURN SPH OD	X-100	ARBOR PIN	4857-02-				0
SPH(D→DT)	1	15	2031	TURN SPH OD	X-100	CENTER	4857-03-				0
SPH(D→DT)	1	16	2031	TURN SPH OD	X-100	WRIST END	4857-04-				0
SPH(D→DT)	1	17	2031	TURN SPH OD	X-100	LOADER JAW	4857-06-			RACE OD φ8～18：0009 ⏎ φ18～30：0003 ⏎ φ30～45：0004	0
SPH(D→DT)	1	20	2031	TURN SPH OD	X-100	INVERSION JAW	4857-08-			ID φ3～ 4：0016 ⏎ φ4～8：0015 ⏎ φ8～16：0002 ⏎ φ16～23：0012	0
SPH(D→DT)	1	24	2031	TURN SPH OD	(FTL)	COLLET OP1	4501-01-		RE33026	FTL selection is not basic ⏎ Only when requested ⏎ (20171201)	0
SPH(D→DT)	1	25	2031	TURN SPH OD	(FTL)	PUSHER OP1	4501-02-				0
SPH(D→DT)	1	26	2031	TURN SPH OD	(FTL)	COLLET OP2	4501-01-				0
SPH(D→DT)	1	27	2031	TURN SPH OD	(FTL)	PUSHER OP2	4501-02-				0
SPH(D→DT)	1	28	2411 ⏎ 2412	RELEASE ⏎ RELEASE(2)		WORK GUIDE	4606-03-			0001：φ20～40 ⏎ 0002：φ15.875～20	0
SPH(D→DT)	1	30	2411 ⏎ 2412	RELEASE ⏎ RELEASE(2)		SET STICK	4606-08-			W+0.5	0
SPH(D→DT)	1	31	2411 ⏎ 2412	RELEASE ⏎ RELEASE(2)		PIN	4606-10-			※Select if "REQUIRED".	0
SPH(D→DT)	1	32	2411 ⏎ 2412	RELEASE ⏎ RELEASE(2)		WORK HOLDER	9713-10-			※HI Torque is select	0
SPH(D→DT)	1	33	2071	SPH BRG TURN ⏎ (DT)	X-100	CONCENTRICITY ⏎ MEASURING PIN	9901-09-				0
SPH(D→DT)	1	34	2071	SPH BRG TURN ⏎ (DT)	X-100	ARBOR	4857-01-		RE33039		0
SPH(D→DT)	1	35	2071	SPH BRG TURN ⏎ (DT)	X-100	ARBOR PIN	4857-02-				0
SPH(D→DT)	1	36	2071	SPH BRG TURN ⏎ (DT)	X-100	CENTER	4857-03-				0
SPH(D→DT)	1	37	2071	SPH BRG TURN ⏎ (DT)	X-100	WRIST END	4857-04-				0
SPH(D→DT)	1	38	2071	SPH BRG TURN ⏎ (DT)	X-100	LOADER JAW	4857-06-			RACE OD φ8～18：0009 ⏎ φ18～30：0003 ⏎ φ30～45：0004	0
SPH(D→DT)	1	41	2071	SPH BRG TURN ⏎ (DT)	X-100	INVERSION JAW	4857-08-			ID φ3～ 4：0016 ⏎ φ4～8：0015 ⏎ φ8～16：0002 ⏎ φ16～23：0012	0
SPH(D→DT)	1	45	2071	SPH BRG TURN ⏎ (DT)	XD-8	COLLET	4858-22-		RE33040	for OP1：OD=2031「TURN SPH OD」、OD MAX + 0.3 OK	0
SPH(D→DT)	1	46	2071	SPH BRG TURN ⏎ (DT)	XD-8	COLLET	4858-22-			for OP2：OD=2071「SPH BRG TURN」、OD MAX + 0.3 OK	0
SPH(D→DT)	1	47	2071	SPH BRG TURN ⏎ (DT)	XD-8	STOPPER L	4858-15-			SPH中心が、コレット端面とほぼ同じであること	0
SPH(D→DT)	1	48	2071	SPH BRG TURN ⏎ (DT)	XD-8	STOPPER R	4858-17-			SPH中心が、コレット端面から1mm程度飛び出すこと	0
SPH(D→DT)	1	49	2071	SPH BRG TURN ⏎ (DT)	XD-8	WRIST END ASSY	4858-01-				0
SPH(D→DT)	1	50	2071	SPH BRG TURN ⏎ (DT)	XD-8	WRIST END	(4858-01-				0
SPH(D→DT)	1	51	2071	SPH BRG TURN ⏎ (DT)	XD-8	COLLAR	(4858-01-				0
SPH(D→DT)	1	52	2071	SPH BRG TURN ⏎ (DT)	XD-8	PIN	(4858-09-				0
SPH(D→DT)	1	53	2071	SPH BRG TURN ⏎ (DT)	XD-8	SPRING	(				0
SPH(D→DT)	1	54	2071	SPH BRG TURN ⏎ (DT)	XD-8	SCREW BOLT	(				0
SPH(D→DT)	1	55	2071	SPH BRG TURN ⏎ (DT)	XD-8	LOADER JAW	4858-08-			OD φ10～15：0005 ⏎ φ15～25：0002 ⏎ φ25～35：0003 ⏎ φ35～42：0004	0
SPH(D→DT)	1	59	2071	SPH BRG TURN ⏎ (DT)	XD-8	WORK STOPPER	4858-11-				0
SPH(D→DT)	1	60	2071	SPH BRG TURN ⏎ (DT)	XD-8	INVERSION JAW	4858-12-			OD φ14～20：0001 ⏎ φ20～27：0002 ⏎ φ27～33：0004 ⏎ φ33～40：0003	0
SPH(D→DT)	1	64	2071	SPH BRG TURN ⏎ (DT)	(FTL)	COLLET OP1	4501-01-		RE33026	FTL selection is not basic ⏎ Only when requested ⏎ (20171201)	0
SPH(D→DT)	1	65	2071	SPH BRG TURN ⏎ (DT)	(FTL)	PUSHER OP1	4501-02-				0
SPH(D→DT)	1	66	2071	SPH BRG TURN ⏎ (DT)	(FTL)	COLLET OP2	4501-01-				0
SPH(D→DT)	1	67	2071	SPH BRG TURN ⏎ (DT)	(FTL)	PUSHER OP2	4501-02-				0
SPH(D→DT)	1	68	2071	SPH BRG TURN ⏎ (DT)	-	INSERT ⏎ (NOSE R=0.25 ONLY)	T-51-			524：INTERIOR=30°・EXTERIOR=30°(ETN series) ⏎ 525：INTERIOR=20°・EXTERIOR=30°(MHTxxV-60A series)	0
SPH(D→DT)	1	69	3161	WELD SEAL		ARBOR	4639-02-			WJ	0
SPH(D→DT)	1	70	3161	WELD SEAL		RING	4639-04-			WW	0
SPH(D→DT)	1	71	3161	WELD SEAL		RING	4639-04-			WW	0
SPH(D→DT)	1	72	1011	OD GRIND		RACE PUSHER	4560-18-				0
SPH(D→DT)	1	73	1011	OD GRIND		SET PIN	4560-21-				0
SPH(D→DT)	1	74	1011	OD GRIND		COLLAR	4560-10- ⏎ 4560-11-			※There is a possibility of falling=Select ⏎ ⇒Confirmation to process Only when requested	0
SPH(D→DT)	1	75	1011	OD GRIND		PIN	4560-04-				0
SPH(D→DT)	1	76	3491	L/MARKING		UNIVERSAL PALLET ASSY	4918-01-0001-99			General purpose	0
SPH 中型	1	7	2511	TEFLON BODING		BONDING ARBOR	BA			Select：Engineering	0
SPH 中型	1	8	2561	TRIM		COLLET	4030-01-				0
SPH 中型	1	9	2401	SWAGE		SWAGE DIE	4571-01-		SD	Select：Engineering	0
SPH 中型	1	10	2401	SWAGE		DIE PIN	4571-02-		DP		0
SPH 中型	1	11	2401	SWAGE		GUIDE PIN	4571-03-		GP		0
SPH 中型	1	12	2071	TURN SPH.	(X-100)	CONCENTRICITY ⏎ MEASURING PIN	9901-09-				0
SPH 中型	1	13	2071	TURN SPH.	(X-100)	ARBOR	4857-01-		RE33039	RACE OD 40＜Manual processing：X-100 ⏎ Use This 3JIG	0
SPH 中型	1	14	2071	TURN SPH.	(X-100)	ARBOR PIN	4857-02-				0
SPH 中型	1	15	2071	TURN SPH.	(X-100)	CENTER	4857-03-				0
SPH 中型	1	16	2071	TURN SPH.	(FTL)	COLLET OP1	4501-01-		RE33026	FTL selection is not basic ⏎ Only when requested ⏎ (20171201)	0
SPH 中型	1	17	2071	TURN SPH.	(FTL)	PUSHER OP1	4501-02-				0
SPH 中型	1	18	2071	TURN SPH.	(FTL)	COLLET OP2	4501-01-				0
SPH 中型	1	19	2071	TURN SPH.	(FTL)	PUSHER OP2	4501-02-				0
SPH 中型	1	20	2071	SPH BRG TURN	TUGAMI	CONCENTRICITY ⏎ MEASURING PIN	9901-09-				0
SPH 中型	1	21	2071	SPH BRG TURN	TUGAMI	-				TUGAMI（MB-08Y)：No jig required	0
SPH 中型	1	22	2071	SPH BRG TURN	(FTL)	COLLET OP1	4501-01-		RE33026	FTL selection is not basic ⏎ Only when requested ⏎ (20171201)	0
SPH 中型	1	23	2071	SPH BRG TURN	(FTL)	PUSHER OP1	4501-02-				0
SPH 中型	1	24	2071	SPH BRG TURN	(FTL)	COLLET OP2	4501-01-				0
SPH 中型	1	25	2071	SPH BRG TURN	(FTL)	PUSHER OP2	4501-02-				0
SPH 中型	1	26	2071	SPH BRG TURN	-	INSERT ⏎ NOSE R=0.25 ONLY	T-51-			524：INTERIOR=30°・EXTERIOR=30°(ETN series) ⏎ 525：INTERIOR=20°・EXTERIOR=30°(MHTxxV-60A series)	0
SPH 中型	1	27	2411	RELEASE		WORK GUIDE	4606-03-			0001：φ20～40 ⏎ 0002：φ15.875～20	0
SPH 中型	1	29	2411	RELEASE		SET STICK	4606-08-			W+0.5	0
SPH 中型	1	30	2411	RELEASE		PIN	4606-10-			※Select if "REQUIRED".	0
SPH 中型	1	31	2411	RELEASE		WORK HOLDER	9713-10-			※HI Torque is select	0
SPH 中型	1	32	1011	OD GRIND		RACE PUSHER	4560-18-				0
SPH 中型	1	33	1011	OD GRIND		SET PIN	4560-21-				0
SPH 中型	1	34	1011	OD GRIND		COLLAR	4560-10- ⏎ 4560-11-			※There is a possibility of falling=Select ⏎ ⇒Confirmation to process Only when requested	0
SPH 中型	1	35	1011	OD GRIND		PIN	4560-04-				0
SPH 中型	1	36	3491	L/MARKING		UNIVERSAL PALLET ASSY	4918-01-0001-99			General purpose	0
3PCS	1	7	3491	L/MARKING		PALLET	4918-03-				0
3PCS	1	8	3491	L/MARKING		SPACER	4918-03-				0
3PCS	1	9	2201	INSTALL SPH.		SPH INSERT JIG	4577-04-				0
3PCS	1	10	2201	INSTALL SPH.		ASSEMBLY TOOL	4574-01-		AT	Select：Engineering	0
3PCS	1	11	2201	INSTALL SPH.		GUIDE PIN	4571-03-		GP		0
3PCS	1	12	2211	STAKING		STAKING PUNCH ASSY	4591-21-			Select：Engineering	0
3PCS	1	13	2211	STAKING		INNER RING	4591-21-				0
3PCS	1	14	2211	STAKING		OUTER RING	4591-21-				0
3PCS	1	15	2211	STAKING		STAKING PUNCH	4591-01-		ST		0
3PCS	1	16	2211	STAKING		GUIDE PIN	4571-03-		GP		0
3PCS	1	17	2211	STAKING		SPRING	SWY		MISUMI		0
3PCS	1	18	2211	STAKING		HINGE PIN	SHCLGHN				0
3PCS	1	19	(2211)	(Axial Proof Load Test)		AXIAL PROOF LOAD TEST JIG ASSY	9732-03-				0
3PCS	1	20	(2211)	(Axial Proof Load Test)		PUNCH	9732-02-0		AX0		0
3PCS	1	21	(2211)	(Axial Proof Load Test)		JIG BASE	9732-02-1		AX1		0
3PCS	1	22	(2211)	(Axial Proof Load Test)		GUIDE PIN	9732-02-2		AX2		0
3PCS	1	23	(2211)	(Axial Proof Load Test)		ADAPTER	9732-02-3		AX3		0
3PCS	1	24	(2211)	(Axial Proof Load Test)		PUNCH BASE	9732-10-				0
3PCS	1	25	(2211)	(Axial Proof Load Test)		PUNCH BASE ASSY	9751-07-				0
3PCS	1	26	3041	INSTALL LUB FITTING		PUSHER	4577-21-				0
3PCS	1	27	3041	INSTALL LUB FITTING		NIPPLE INSERT JIG	4577-01-				0
ボール入りRD	1	7	3491	L/MARKING		4918-03-				W/M	0
ボール入りRD	1	8	3491	L/MARKING		4918-03-					0
ボール入りRD	1	9	3131	CHECK CLEARANCE		9764-01-			R/P測定用	W/M	0
ボール入りRD	1	10	3131	CHECK CLEARANCE		9764-01-					0
ボール入りRD	1	11	3131	CHECK CLEARANCE		9764-01-					0
ボール入りRD	1	12	3131	CHECK CLEARANCE		9764-02-					0
ボール入りRD	1	13	3131	CHECK CLEARANCE		9764-02-					0
ボール入りRD	1	14	3131	CHECK CLEARANCE		9764-02-					0
ボール入りRD	1	15	3131	CHECK CLEARANCE		9764-03-					0
ボール入りRD	1	16	3131	CHECK CLEARANCE		(CB	-				1
ボール入りRD	1	17	3131	CHECK CLEARANCE		(CB	-				1
ボール入りRD	1	18	3131	CHECK CLEARANCE		9738-05-			A/P測定用(3Dプリンタ治具4800-68は使用禁止)	W/M	0
ボール入りRD	1	19	3221	HAND ⏎ FEEL ⏎ INSPECT		9713-08-			揺動トルク要求が ⏎ 有る場合のみ設計 ⏎ する。	W/M	0
ボール入りRD	1	20	3221	HAND ⏎ FEEL ⏎ INSPECT		9713-08-					0
ボール入りRD	1	21	3221	HAND ⏎ FEEL ⏎ INSPECT		9713-08-					0
ボール入りRD	1	22	3191	FILL ⏎ GREASE		4800-31-				#N/A	0
ボール入りRD	1	23	3191	FILL ⏎ GREASE		4800-31-					0
ボール入りRD	1	24	3191	FILL ⏎ GREASE		4800-31-					0
ボール入りRD	1	25	3002	ASSEMBLY (2)		4645-01-			・カシメタイプのみ選定 ⏎ （スナップリングリテーナータイプは不要) ⏎ ・オーダーリストWC28→39に手動で打ち変えること。	W/M	0
ボール入りRD	1	26	3002	ASSEMBLY (2)		4645-02-					0
ボール入りRD	1	27	3002	ASSEMBLY (2)		4571-03-					0
S_ROLLER_ASSY	1	7	1041	SPHERICAL ⏎ GRIND	⏎ KS400B1～B3	WORK DRIVER	4664-01-		極力既存品から選択する	球径≦Sφ32まで	0
S_ROLLER_ASSY	1	8	1041	SPHERICAL ⏎ GRIND	⏎ KS400B1～B3	LOADING CHUTE	4664-02-				0
S_ROLLER_ASSY	1	9	1041	SPHERICAL ⏎ GRIND	⏎ KS400B1～B3	SUPPORT BLOCK	4664-03-				0
S_ROLLER_ASSY	1	10	1041	SPHERICAL ⏎ GRIND	⏎ KS400B1～B3	PLUG（A)	4664-06-		PLAG(B)の値を見て選定すること		0
S_ROLLER_ASSY	1	11	1041	SPHERICAL ⏎ GRIND	⏎ KS400B1～B3	PLUG（B)	4664-07-				0
S_ROLLER_ASSY	1	12	1041	SPHERICAL ⏎ GRIND	⏎ KS400B1～B3	PLUG（A)	4664-21-				0
S_ROLLER_ASSY	1	13	1041	SPHERICAL ⏎ GRIND	⏎ KS400B1～B3	PLUG（B)	4664-22-				0
S_ROLLER_ASSY	1	14	1041	SPHERICAL ⏎ GRIND	KN-312A	ARBOR	4828-01-			RE33032	0
S_ROLLER_ASSY	1	15	1041	SPHERICAL ⏎ GRIND	KN-312A	NUT	4828-02-				0
S_ROLLER_ASSY	1	16	1241	SUPER FINISH	KS H70	FINISH WHEEL SIZE	WA or CRYSTAL		スペック→	サイズがあるか確認する事	0
S_ROLLER_ASSY	1	17	1241	SUPER FINISH	KS H70	ROUGH WHEEL SIZE	4691-20-		#800	サイズがあるか確認する事	0
S_ROLLER_ASSY	1	18	1241	SUPER FINISH	KS H70	STONE HOLDER	4691-01-				0
S_ROLLER_ASSY	1	19	1241	SUPER FINISH	KS H70	STOPPER	4691-02-		段付きカラー		0
S_ROLLER_ASSY	1	20	1241	SUPER FINISH	KS H70	COLLET（A）	4691-03-		ID＜12.7		0
S_ROLLER_ASSY	1	21	1241	SUPER FINISH	KS H70	COLLET	4691-19-		12.7≦ID＜41.7 AC7XXXX (TEIKOKU CHUCK)		0
S_ROLLER_ASSY	1	22	1241	SUPER FINISH	KS H70	GRINDSTONE BASE	4691-04-		砥石台		1
S_ROLLER_ASSY	1	23	1241	SUPER FINISH	KS H70	COLLET BODY	4691-18-		AC-8XXX (TEIKOKU CHUCK)	12.7≦ID	0
S_ROLLER_ASSY	1	24	3001	ASSEMBLY		ASSEMBLY TOOL	4645-02-		PT 技術科選定（設計）		0
S_ROLLER_ASSY	1	25	3001	ASSEMBLY			4800-68-		3Dプリンター製（元図があり、技術から依頼があれば生技で設計）		0
S_ROLLER_ASSY	1	26	3121	CLEARANCE SELECT		専用治具不要					1
S_ROLLER_ASSY	1	27	3002	ASSEMBLY(2)		専用治具不要					1
S_ROLLER_ASSY	1	28	3003	ASSEMBLY(3)		専用治具不要					1
S_ROLLER_ASSY	1	29	2211	STAKING		STAKING JIG ASSY	4843-01-		※リベッティングでステーキングの場合、生技で設計。（シールドカシメ）		0
S_ROLLER_ASSY	1	30	2211	STAKING		BASE	4843-01-		技術選定		0
S_ROLLER_ASSY	1	31	2211	STAKING		HEAD	4843-02-				0
S_ROLLER_ASSY	1	33	3491	L/MARKING		PALLET ASSY	4918-01-		主にPOM製		0
S_ROLLER_ASSY	1	34	3491	L/MARKING		PALLET	4918-01-				0
S_ROLLER_ASSY	1	35	3491	L/MARKING		PALLET ASSY	4800-68-		3Dプリンター製		0
S_ROLLER_ASSY	1	36	3491	L/MARKING		PALLET	4800-68-				0
D_ROLLER_ASSY	1	7	1041	SPHERICAL ⏎ GRIND		WORK DRIVER	4828-01-				0
D_ROLLER_ASSY	1	8	1041	SPHERICAL ⏎ GRIND		LOADING CHUTE	4828-02-		GM		0
D_ROLLER_ASSY	1	9	1241	SUPER FINISH	KS-H70	FINISH WHEEL SIZE			WA X X	サイズがあるか確認する事	0
D_ROLLER_ASSY	1	10	1241	SUPER FINISH	KS-H70	ROUGH WHEEL SIZE	4691-20-		#800 D W ° X T		0
D_ROLLER_ASSY	1	11	1241	SUPER FINISH	KS-H70	STONE HOLDER	4691-01-		砥石外径より内径が大きいこと		0
D_ROLLER_ASSY	1	12	1241	SUPER FINISH	KS-H70	STOPPER	4691-02-		選定したAC ADAPTERに対応のこと		0
D_ROLLER_ASSY	1	13	1241	SUPER FINISH	KS-H70	COLLET	4691-03-		これを使用する場合は4691-100001/0002or0003を使用	先端穴径：φ3.5～φ5.3	0
D_ROLLER_ASSY	1	14	1241	SUPER FINISH	KS-H70	GRINDSTONE BASE	4691-04-				1
D_ROLLER_ASSY	1	15	1241	SUPER FINISH	KS-H70	ATTACHMENT			4907-06-0001：0001 ⏎ 4907-06-0002：0002 ⏎ 4907-06-0003：0003		1
D_ROLLER_ASSY	1	16	1241	SUPER FINISH	KS-H70		4907-05-				1
D_ROLLER_ASSY	1	18	1241	SUPER FINISH	KS-H70	CONECTOR ROD	4907-06-		4691-03、AC8100-8300：0001 ⏎ AC8400-8500：0002		1
D_ROLLER_ASSY	1	20	1241	SUPER FINISH	KS-H70	COLLET ADAPTER	4691-10-		現状-0001のみ	ID＜12.7	1
D_ROLLER_ASSY	1	21	1241	SUPER FINISH	KS-H70	JOINT			COLLETの先端穴径によるφ5.3：-0002 ⏎ φ3.5：-0003		1
D_ROLLER_ASSY	1	22	1241	SUPER FINISH	KS-H70		4691-10-				1
D_ROLLER_ASSY	1	23	1241	SUPER FINISH	KS-H70	COLLET BODY	4691-18-		AC-8XXX (TEIKOKU CHUCK)	12.7≦ID	0
D_ROLLER_ASSY	1	24	1241	SUPER FINISH	KS-H70	COLLET	4691-19-		AC7XXXX (TEIKOKU CHUCK)		0
D_ROLLER_ASSY	1	25	1241	SUPER FINISH	KS-H70	END BLOCK	4907-01-		20＜OD≦40, 14＜W＜26, ⏎ (条件満足できない場合は自動供給不可)	自動供給 ⏎ 可 ・ 不可	0
D_ROLLER_ASSY	1	26	1241	SUPER FINISH	KS-H70	FINGER CHUCK	4907-03-				0
D_ROLLER_ASSY	1	27	1241	SUPER FINISH	RA-10	SPHERICITY MEASURING ⏎ JIG ASSY	9901-21-		ボール用真円度測定冶具	※1	0
D_ROLLER_ASSY	1	28	1241	SUPER FINISH	RA-10	BASE	9901-21-				0
D_ROLLER_ASSY	1	29	1241	SUPER FINISH	RA-10	PIN	9901-21-				0
D_ROLLER_ASSY	1	30	3001	ASSEMBLY（1）		ASSEMBLY JIG ASSY	4800-68-		3Dプリンター		0
D_ROLLER_ASSY	1	31	3001	ASSEMBLY（1）		BASE (1)	4800-68-				0
D_ROLLER_ASSY	1	32	3001	ASSEMBLY（1）		SAPPORT (1)	4800-68-				0
D_ROLLER_ASSY	1	33	3001	ASSEMBLY（1）		BASE (2)	4800-68-				0
D_ROLLER_ASSY	1	34	3001	ASSEMBLY（1）		SAPPORT (2)	4800-68-				0
D_ROLLER_ASSY	1	35	3121	CLEARANCE SELECT		専用治具不要					0
D_ROLLER_ASSY	1	36	3002	ASSEMBLY(2)		SLEEVE INSERT JIG ASSY	4800-68-		3Dプリンター		0
D_ROLLER_ASSY	1	37	3002	ASSEMBLY(2)		GUIDE WASHER	4800-68-				0
D_ROLLER_ASSY	1	38	3002	ASSEMBLY(2)		SLEEVE GUIDE	4800-68-				0
D_ROLLER_ASSY	1	39	3002	ASSEMBLY(2)		SOH INSERT JIG	4577-04-				0
D_ROLLER_ASSY	1	40	3002	ASSEMBLY(2)		SLEEVE PUSH JIG ASSY	4577-20-				0
D_ROLLER_ASSY	1	41	3002	ASSEMBLY(2)		BASE 1	4843-20-				0
D_ROLLER_ASSY	1	42	3002	ASSEMBLY(2)		BASE 2	4843-20-				0
D_ROLLER_ASSY	1	43	1061	ID GRIND	GI-20N	YATOI	4561-05-			ID≦φ15.875	0
D_ROLLER_ASSY	1	44	1061	ID GRIND	GI-20N	NUT	4561-06-				0
D_ROLLER_ASSY	1	45	3491	L/RMARKING		PALLET	4918-01-		シールテーナ単体レーザマーキング治具		0
ROLLER PIN	1	22		NC GRIND	minebea ⏎ KS-450C	ROTARY DRESSER	4800-42-		DD		0
ROLLER PIN	1	23		NC GRIND	minebea ⏎ KS-450C	BLADE	4029-01-		オーダーリスト：2PCS		0
ROLLER PIN	1	24		NC GRIND	minebea ⏎ KS-450C	CARRIER (R)	4029-02-		オーダーリスト：2PCS		0
ROLLER PIN	1	25		NC GRIND	minebea ⏎ KS-450C	CARRIER (F)	4029-03-		オーダーリスト：2PCS		0
ROLLER PIN	1	26		NC GRIND	minebea ⏎ KS-450C	SLEEVE	4029-04-		オーダーリスト：2PCS,Subpart of 4029-06-		0
ROLLER PIN	1	27		NC GRIND	minebea ⏎ KS-450C	SEPARATE BLOCK	4029-06-		オーダーリスト：1PCS		0
ROLLER PIN	1	28		NC GRIND	minebea ⏎ KS-450C	SEPARATE PLATE	4029-07-		オーダーリスト：1PCS		0
ROLLER PIN	1	29		NC GRIND	minebea ⏎ KS-450C	LIFTER GUIDE	4029-08-		オーダーリスト：1PCS		0
ROLLER PIN	1	30		NC GRIND	minebea ⏎ KS-450C	LIFTER	4029-09-		オーダーリスト：2PCS		0
ROLLER PIN	1	31		NC GRIND	minebea ⏎ KS-450C	TUBE STAY ⏎ （1号機）			TUBE による。いづれかを選択のこと。 ⏎ NT-4 ： 0002 ⏎ NT-6 ： 0003 ⏎ NT-8 ： 0004		0
ROLLER PIN	1	32		NC GRIND	minebea ⏎ KS-450C		4029-10-				0
ROLLER PIN	1	34		NC GRIND	minebea ⏎ KS-450C	LIFTER STAY（1号機）	4029-10-		LIFTERの子部品(全型式共用)※1号機		0
ROLLER PIN	1	35		NC GRIND	minebea ⏎ KS-450C	TUBE STAY ⏎ （2号機）	4029-15-				0
ROLLER PIN	1	36		NC GRIND	minebea ⏎ KS-450C		4029-16-				0
ROLLER PIN	1	37		NC GRIND	minebea ⏎ KS-450C	GUIDE TUBE (1)	4029-13-		LIFTER GUIDEの子部品/オーダーリスト：2PCS		0
ROLLER PIN	1	38		NC GRIND	minebea ⏎ KS-450C	GUIDE TUBE (2)	4029-14		LIFTER GUIDEの子部品/オーダーリスト：2PCS		0
ROLLER PIN	1	39		NC GRIND	minebea ⏎ KS-450C	TUBE	NT-		1号機 MISUMI購入品		0
ROLLER PIN	1	40		NC GRIND	minebea ⏎ KS-450C		N2-4-		2号機 MISUMI購入品		0
LOCK NUT	1	7	0561	MACHINING	マザック ⏎ VCS530C	Mill Keyway Assy	(4908-05-				0
LOCK NUT	1	8	0561	MACHINING	マザック ⏎ VCS530C	Arbor	4908-05-				0
LOCK NUT	1	9	0561	MACHINING	マザック ⏎ VCS530C	Collar	4908-05-				0
LOCK NUT	1	10	0561	MACHINING	マザック ⏎ VCS530C	Nut	4908-05-				0
LOCK NUT	1	11	0561	MACHINING	Cutter	T-slot cutter	X-52-				0
LOCK NUT	1	12	0561	MACHINING	Cutter	End mill cutter	F-51-			x-52無しの場合	0
PB Ring	1	7	1021	FACE GRIND	KVD-300	CARRIER	4036-01-			Under W7mm：SEIBU・HAMAI Both select ⏎ MAXODΦ25	0
PB Ring	1	8	1021	FACE GRIND	KVD-300	CARRIER CUIDE	4036-02-				0
PB Ring	1	9	1011	OD GRIND	OC-16A	RACE PUSHER	4560-18-				0
PB Ring	1	10	1011	OD GRIND	OC-16A	SET PIN	4560-21-				0
